title,description
Infisical Secrets Provider,"Complete the Infisical backend integration so deployments use Infisical as the secrets backend, with Universal Auth workload credentials and SprinkleRef backend-neutral references."
Supabase Project Provisioning,"Create and configure the Supabase project(s) that serve as the external Postgres database and optional auth backend for the deployment control plane, and register all connection credentials in Infisical."
Kubernetes Cluster Provisioning,"Provision a Kubernetes cluster and prepare it with the namespaces, RBAC, and cluster add-ons required to host the containerized control plane."
Containerize Control Plane + Move to Cloud,"Transform the deployment control plane from a self-hosted service into a cloud-portable, horizontally scalable containerized runtime, then migrate it off the current personal server to an external cloud host."
Simple Kubernetes / OpenTofu Deployment to Bundle Control Plane,"Deploy the containerized control plane to a Kubernetes cluster using the existing Helm-based provider and OpenTofu-managed infrastructure, replacing the current personal server as the primary control-plane host."
Supabase/WorkOS Auth Provider,"Replace the current file-backed single bearer token with an OIDC-based identity provider (Supabase Auth or WorkOS) for human access to the control plane API, web UI, and MCP surface."
Auth Provisioning IaC,"Declaratively manage all identity infrastructure — Infisical projects/identities, WorkOS/Supabase tenants, and CI submitter identities — using OpenTofu so auth state is reproducible and auditable."
Container Deployment Provider,"Wire a container deployment provider into a live, admission-gated path that can push a Nix-built OCI image and produce a complete, auditable deploy record."
Vercel Build Target,"Validate, stabilize, and document the existing `node_vercel_next_artifact` Buck/Nix build target so Next.js apps reliably produce a hermetic `.vercel/output` artifact with a stable content-addressed identity."
Vercel Deployment Provider,"Cut the first live protected/shared Vercel deployment by creating a deployment package under `projects/deployments/`, provisioning real provider credentials, and validating the end-to-end admission-to-publish flow."
Backend Service Build Template(s),"Add a service scaffold template so new backend services get a ready-to-build entrypoint, health endpoint stub, Buck target, and test scaffold with a single `scaf new` command."
Backend Service Deployment Template,Wire the existing per-provider and shared governance scaffold templates into a single compound invocation that generates dev/staging/prod TARGETS and lane policy stubs for a new backend service.
Supabase DB Deployment,"Decide whether the Supabase project is provisioned by OpenTofu or out-of-band, then wire the existing Buck migration bundle machinery to apply schema migrations on each protected/shared deploy."
Unified Health/Readiness Contract for Services,"Extract the existing control-plane `/healthz`/`/readyz` implementation into a shared contract document and reusable helper, enforce path names in the Kubernetes posture validator, and wire stubs into the service scaffold."
Local Stack Deployment,"Define a Buck2-backed local stack target that generates Compose config from the same deployment metadata used in production, running Postgres, a lightweight S3-compatible service, and the control plane locally so developers can exercise full deployment flows without cloud access."
Centralized Structured Logging,"Add structured JSON logging to the control plane service and worker (currently bare `console.log` or silent), define the shared field schema and redaction rules, and wire a configurable log destination into the runtime config."
